# example_dataset.csv
# This is a small example dataset to demonstrate the dataset-splitter plugin.
# It contains [NUMBER] rows and [NUMBER] columns.
# The first row is the header row, defining the column names.
# You can replace this with your own dataset.
# To use this dataset with the plugin, save it as a .csv file and place it in the same directory as your plugin execution.

# Column descriptions:
# - feature1: [DESCRIPTION OF FEATURE 1]
# - feature2: [DESCRIPTION OF FEATURE 2]
# - target: [DESCRIPTION OF TARGET VARIABLE]

feature1,feature2,target
1.0,2.0,0
3.0,4.0,1
5.0,6.0,0
7.0,8.0,1
9.0,10.0,0
11.0,12.0,1
13.0,14.0,0
15.0,16.0,1
17.0,18.0,0
19.0,20.0,1
